Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
62	-23.137547	1.1185257	-21.099907	-26.229507	275.8889	-35.211193	0.0012837521	-35.20889	-35.212193	315000	-1.1668396e-05	929.4974	-0.0044404278	-0.038513184	0.795876	0.006532405	0.053799998	79.0	5230.508949518204
63	-22.22781	1.1973537	-20.430597	-24.954117	264.66666	-35.210205	0.0013080656	-35.2079	-35.211205	320000	-3.0639649e-06	910.5254	-0.003219171	-0.038391113	0.7778264	0.009131639	0.0782	79.0	5319.194973230362
64	-22.58064	2.0577242	-20.389812	-27.275839	260.21054	-35.210163	0.0013129145	-35.207592	-35.211193	325000	4.6829223e-06	919.6929	-0.0031301894	-0.045898438	0.769577	0.007971857	0.060399998	79.0	5408.402147531509
65	-25.280281	3.6321213	-21.047688	-38.084305	266.72223	-35.20929	0.0012199883	-35.206303	-35.210205	330000	-2.9693604e-06	865.3686	-0.0059029204	-0.048217773	0.78112	0.011085967	0.0968	79.0	5494.828720331192
66	-21.711323	1.7376003	-18.860737	-25.244923	249.4	-35.209076	0.0012059471	-35.206642	-35.209946	335000	2.8936767e-05	935.7915	-0.006290167	-0.055603027	0.7906022	0.0074257855	0.0822	79.0	5582.47075510025
67	-20.073618	1.2247304	-17.28489	-22.708317	232.42857	-35.207165	0.0011716003	-35.204678	-35.20798	340000	-7.3104857e-06	931.09125	-0.0033013655	-0.05517578	0.7767056	0.005120102	0.051	79.0	5671.08131146431
68	-18.773226	0.8502607	-17.289349	-21.021692	221.13637	-35.20663	0.0011969358	-35.204178	-35.20748	345000	1.315155e-05	940.88226	-0.0056985933	-0.055908203	0.76704484	0.008065888	0.0894	79.0	5758.869904518127
69	-18.60943	1.3893158	-16.642927	-22.133915	218.81818	-35.206238	0.0010907913	-35.203674	-35.206978	350000	-1.1734008e-06	937.268	-0.003990802	-0.056030273	0.76072943	0.012424054	0.0932	79.0	5848.790069818497
70	-17.194057	1.0270134	-15.4747	-18.898796	209.52174	-35.205605	0.0011936756	-35.203175	-35.206474	355000	2.0155334e-05	953.00696	-0.0024089697	-0.057373047	0.7616909	0.0077915112	0.0484	79.0	5937.62647151947
71	-17.598291	0.95813805	-15.622039	-19.31629	205.58333	-35.20517	0.001162518	-35.20267	-35.20597	360000	-9.7434995e-06	957.9308	-0.005490067	-0.05883789	0.7664478	0.007913551	0.0852	79.0	6026.363555192947
72	-16.692314	0.86038375	-15.301913	-18.733873	200.08333	-35.203323	0.0012583662	-35.200947	-35.204247	365000	-7.687378e-06	953.449	-0.004299574	-0.06640625	0.76766604	0.006636552	0.0508	79.0	6115.006013870239
73	-16.191149	0.9248233	-14.544881	-17.841585	190.1923	-35.20188	0.0012308115	-35.199467	-35.202766	370000	5.3375243e-06	972.05835	-0.0040853885	-0.07556152	0.75629497	0.0063026617	0.0326	79.0	6204.395934104919
74	-15.650248	0.5681086	-14.420526	-16.539028	186.96153	-35.199932	0.0012114996	-35.197495	-35.200794	375000	-3.2985685e-05	966.73975	-0.00373872	-0.07537842	0.741347	0.010417013	0.0744	79.0	6294.813215255737
75	-16.43719	0.88229626	-14.21903	-18.477823	194.08	-35.199963	0.0011824903	-35.197475	-35.200775	380000	-3.4805296e-06	956.3926	-0.004858423	-0.07501221	0.7560388	0.009279392	0.0832	79.0	6384.476922035217
76	-16.544306	0.75494546	-15.049588	-18.248606	196.88	-35.197815	0.0011090159	-35.19526	-35.19856	385000	8.192444e-06	965.3782	-0.00409539	-0.07659912	0.7382539	0.008602691	0.0814	79.0	6475.226035118103
77	-17.338814	0.6430793	-16.01465	-18.705622	200.66667	-35.19619	0.0010314742	-35.19353	-35.19683	390000	-5.1803586e-06	942.50397	-0.006069717	-0.0758667	0.73123103	0.0065240692	0.070199996	79.0	6564.554796457291
78	-16.67763	0.5497026	-15.431412	-17.691998	195.48	-35.19543	0.0010457977	-35.19278	-35.19608	395000	-2.7877807e-06	955.5132	-0.0031037552	-0.08190918	0.7109353	0.0074453475	0.044	79.0	6654.36710691452
